id,dragonid,description,name,image,background,wings,body,bodyscales,tail,ears,eyes,mouth,horns,headpiece,territory,class,attacktype,isMinted,,
1856,1856,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #1856,https://gateway.pinata.cloud/ipfs/QmeDXmpSmS5rrYMvtzoKHP3ya12sKj146j5DB5QKcxSWK9,Scottish Coral Background,Halloween Wings,Gecko Dragon,Kilt Scales,Jaguar Tail,Brown Sheep Ears,Domineering Eyes,Growling Mouth,Orange Ram Horns,Golden Mohawk Headpiece,Enchanted Forest,Venemous,Poison Cloud,f,2021-10-17 18:18:48.769+05,2021-10-17 18:18:48.769+05
1857,1857,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #1857,https://gateway.pinata.cloud/ipfs/QmQaJtFHJvki6GbgA3u7G8nnBXt1PdD78KcNuM8dc6sDzm,Flaxen Background,Armada Twine Wings,Lightning Jade Dragon,Crooked Scales,Median Strip Tail,Double Black Ears,Focused Eyes,Yawning Mouth,Minotaur Horns,Wreath Headpiece,Argon Mountain,Electric Beam,Thunder Dragon,f,2021-10-17 18:18:48.77+05,2021-10-17 18:18:48.77+05
1858,1858,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #1858,https://gateway.pinata.cloud/ipfs/QmYuin9smid8CHcRqGmA5TsZRhJ4oY8dLGLi3HkxwmNUbe,Dark Violet Background,Vampire Wings,Ocean Blue Dragon,Alligator Scales,Blue Uchiwa Tail,Yale Genie Ears,Interested Eyes,Talkative Mouth,Devil Horns,Conch Shell Headpiece,CITRCA,Aquatic Dragon,WhirlPool,f,2021-10-17 18:18:48.772+05,2021-10-17 18:18:48.772+05
1859,1859,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #1859,https://gateway.pinata.cloud/ipfs/QmQyBkAydqhE4Za1QABXmUE27AJCckXwiT6bbh5u4bVt37,Cream Green Background,Magnum Gold Wings,Albino Embrace Dragon,Zebra Scales,Flamingo Beak Tail,Knuckle Ears,Relieved Eyes,Menancing Mouth,Maleficient Horns,Fin Headpiece,ICY Doman,Ice Fire,Dual Breath,f,2021-10-17 18:18:48.773+05,2021-10-17 18:18:48.773+05
1860,1860,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #1860,https://gateway.pinata.cloud/ipfs/QmX1PSZtcFmb1wHZktJ8adMjpEPV3x6GGnMU3nGV1yrefA,Maya Blue Background,Fallen Angel Wings,Lightning Jade Dragon,Bubble Wrap Scales,Fire Arrow Tail,Cambion Ears,Inquisitive Eyes,Frisky Mouth,Fire Horns,Golden Mohawk Headpiece,Argon Mountain,Electric Beam,Thunder Dragon,f,2021-10-17 18:18:48.774+05,2021-10-17 18:18:48.774+05
1861,1861,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #1861,https://gateway.pinata.cloud/ipfs/Qmc5jv6C2XdYVgpWE74Vm9kB52MmxmxR4TtgS5zFstQ2kN,Ever Green Forest,Evergreen Wings,Snow Leopard Dragon,Gecko Scales,Gecko Tail,Cyan Snail Ears,Troubled Eyes,Phlegmatic Mouth,Moose Horns,Crescent Spring Headpiece,Tundra Mountain,Ice Dragon,Ice Shuriken Breath,f,2021-10-17 18:18:48.775+05,2021-10-17 18:18:48.775+05
1862,1862,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #1862,https://gateway.pinata.cloud/ipfs/QmSJuoVhuxPPTpLfNsohqGkuvUWzq78Y9cYw2epAC8xRfV,Floral Green Background,Serpent Wings,Lilac Blue Dragon,Pangolin Scales,Harpoon Tail,Walrus Ears,Enlightened Eyes,Bulldog Mouth,Shadow Embrace Horns,Black Phantom Hair Headpiece,Tundra Mountain,Ice Dragon,Blue Fire Breath,f,2021-10-17 18:18:48.776+05,2021-10-17 18:18:48.776+05
1863,1863,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #1863,https://gateway.pinata.cloud/ipfs/QmYc1KKdeM8Cd2JU7mEes756Z5L8g4cpT8XJLmho5zm3pM,Candy Tangerine Background,Devilish Palm Wings,Morion Lava Dragon,Furry Scales,Thin Barbed Tail,Spatula Ears,Weeping Eyes,Jolly Mouth,Minotaur Horns,Richie Rich Headpiece,Ashy Range,Lava Dragon,Volcanic Lava,f,2021-10-17 18:18:48.777+05,2021-10-17 18:18:48.777+05
1864,1864,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #1864,https://gateway.pinata.cloud/ipfs/QmcKGaZCjhFETcyoFtzi7b9EeyCH1Fo3UgvsJ9r2FTLXab,Chartreuse Background,Pink Crescent Wings,Dark Shadow Dragon,Furry Scales,Caiman Tail,Wildebeest Ears,Interested Eyes,Frisky Mouth,G Horns,Purple S Headpiece,Ashy Range,Lava Dragon,Molten Lava,f,2021-10-17 18:18:48.778+05,2021-10-17 18:18:48.778+05
1865,1865,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #1865,https://gateway.pinata.cloud/ipfs/QmTjS3qouipPJLycn1MBrXnKit5zGmwj8vpsMgpZVqMDPF,Toscany Background,Pterodactyl Wings,Flamy Dragon,Leis Scales,Carnivorus Plant Tail,Apricloth Ears,Pretty Eyes,Gratified Mouth,Battle X Horns,Golden Mohawk Headpiece,Tundra Mountain,Ice Dragon,Ice Shuriken Breath,f,2021-10-17 18:18:48.78+05,2021-10-17 18:18:48.78+05
1866,1866,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #1866,https://gateway.pinata.cloud/ipfs/QmUKenSiAdTj7FHxCyD4dPb8VT1cQuwqDZwRoYJKtWJQUY,Candy Tangerine Background,Onyx Wings,Lilac Blue Dragon,Wavy Incensed Scales,Boulder Tail,Walrus Ears,Pretty Eyes,Ecstatic Mouth,Orange Ram Horns,Layered Opal Headpiece,Tundra Mountain,Ice Dragon,Blue Fire Breath,f,2021-10-17 18:18:48.783+05,2021-10-17 18:18:48.783+05
1867,1867,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #1867,https://gateway.pinata.cloud/ipfs/QmZHTMuJdbfCW9rGFExgKMw9zoe9fDiNNv2TVqbSDR5q1V,Lilac Background,Obsidian Wings,Cheetah Dot Dragon,Shackles Scales,Munsell Trident Tail,Cotton Candy ears,Pretty Eyes,Jolly Mouth,Kudu Horns,Funky Mohican Hair Headpiece,Ashy Range,Firey,Red Fire,f,2021-10-17 18:18:48.786+05,2021-10-17 18:18:48.786+05
1868,1868,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #1868,https://gateway.pinata.cloud/ipfs/Qma2Ly5C6g1nTwx3TDoLDitZvyU2QekuwxCRzjisAtqhWZ,Jungle Background,Golden Stroke Wings,Rosie Pink Dragon,Totem Scales,Sliding Band Tail,Cornflower Miotaur Ears,Stressed Eyes,Menancing Mouth,Maleficient Horns,Turban Headpiece,Ashy Range,Lava Dragon,Lava Rose,f,2021-10-17 18:18:48.79+05,2021-10-17 18:18:48.79+05
1869,1869,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #1869,https://gateway.pinata.cloud/ipfs/QmVoHPMXCajv1gbS4b9MTiCnqoB8MrYpqrNRSVihinwTCc,Air Superiority Blue Background,Wasp Wings,Corny Blue Dragon,Groovy Scales,Aquatic Control Tail,Sad Bat Ears,Narcissist Eyes,Lucky Mouth,Hell Boy Horns,Whirlpool Headpiece,SHIRE,Magical,Exploding Poopcorn,f,2021-10-17 18:18:48.793+05,2021-10-17 18:18:48.793+05
1870,1870,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #1870,https://gateway.pinata.cloud/ipfs/QmSdZRYcmfE6mcCRkE5Z5bck9v8MVfnRwaJRBp4cfapZBu,Lollipop Background,Crimson Bat Wings,Gecko Dragon,Twirling Scales,Tentacle Tail,Brown Sheep Ears,Enlightened Eyes,Suffering Mouth,Devil Horns,Funky Mohican Hair Headpiece,Enchanted Forest,Venemous,Poison Cloud,f,2021-10-17 18:18:48.795+05,2021-10-17 18:18:48.795+05
1871,1871,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #1871,https://gateway.pinata.cloud/ipfs/QmSSMnmdUSN1QC49dnrzHCCFrtVKRnEi6UV73dcsXt725L,Golden Orange Background,Onyx Wings,Electro Yale Dragon,Groovy Scales,Fire Heart Tail,Sad Astronaut Ears,Furious Eyes,Smug Mouth,Red Devil Horns,Black Obsidian Headpiece,CITRCA,Aquatic Dragon,Cyclone Breath,f,2021-10-17 18:18:48.796+05,2021-10-17 18:18:48.796+05
1872,1872,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #1872,https://gateway.pinata.cloud/ipfs/QmaB6c7RGwjr8q4ha1GpCuRHEohgbgkddipxghQ7kRXdZH,Persian Green Background,Asguardian Wings,Lilac Blue Dragon,Root Scales,Crooked Tail,Pointy Molar Ears,Focused Eyes,Menancing Mouth,Maleficient Horns,Richie Rich Headpiece,Tundra Mountain,Ice Dragon,Blue Fire Breath,f,2021-10-17 18:18:48.797+05,2021-10-17 18:18:48.797+05
1873,1873,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #1873,https://gateway.pinata.cloud/ipfs/Qmb4koHxk3wxLCvL2QDDhd4FMa9KnWxGgkv1TTkvtx5kTo,Palantinate Blue Background,Aquatic Green Wings,Aqua Spiral Dragon,Furry Scales,Violet Oar Tail,Bison Ears,Enthusiastic Eyes,Nonchalant Mouth,Springbok Horns,Scythe Hair Headpiece,CITRCA,Aquatic Dragon,Water Gun,f,2021-10-17 18:18:48.799+05,2021-10-17 18:18:48.799+05
1874,1874,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #1874,https://gateway.pinata.cloud/ipfs/QmYVS1V5aF9DZtnu7GTrYpg4592M8uwy2KuJf4ADh1mwEA,Violet Blue Background,Jezebel Wings,Tiger Stripped Dragon,Rubik Scales,Tiger Tail,War Horn Ears,Pretty Eyes,Yawning Mouth,Shadow Embrace Horns,White Rhino Headpiece,Enchanted Forest,Sound,Sonic Roar,f,2021-10-17 18:18:48.801+05,2021-10-17 18:18:48.801+05
1875,1875,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #1875,https://gateway.pinata.cloud/ipfs/QmYKZemrnkCa3yqNT3TAG9HfYEx5jMCBqwutuYv19TdEeg,Grape Background,Heavenly Light Wings,Amazonian Dragon,Thunderclap Scales,Stripy Rainforest Tail,Ripped Ballon Ears,Enraged Eyes,Drool Mouth,Maleficient Horns,Layered Opal Headpiece,Enchanted Forest,Poisonous,Poison Strike,f,2021-10-17 18:18:48.804+05,2021-10-17 18:18:48.804+05
1876,1876,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #1876,https://gateway.pinata.cloud/ipfs/QmYPSpqNLokx6415rGH5xyBiPaBdZJa1sdEmewfaLYNwzY,Kaitoke Background,Aquatic Green Wings,Ocean Blue Dragon,Smokey Distorted Scales,Spiky Deca Blue Tail,Monster Ears,Astonish Eyes,Jubilant Mouth,Shadow Embrace Horns,Turban Headpiece,CITRCA,Aquatic Dragon,WhirlPool,f,2021-10-17 18:18:48.806+05,2021-10-17 18:18:48.806+05
1877,1877,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #1877,https://gateway.pinata.cloud/ipfs/QmRRFTZyaHJoEgyPctRXLuxLTY3Lfx8ip435GcWocoZHoU,Deep Sky Blue Background,Chestnut Wings,Lilac Blue Dragon,Argyle Scales,Deca Thorn Tail,Walrus Ears,Cute Eyes,Geeky Mouth,Pudu Horns,Tuba Headpiece,Tundra Mountain,Ice Dragon,Blue Fire Breath,f,2021-10-17 18:18:48.808+05,2021-10-17 18:18:48.808+05
1878,1878,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #1878,https://gateway.pinata.cloud/ipfs/QmToWwJZLNeNpn1w8V8pBtu3drkJpqpqS4SoPYtSmYdzUE,Scottish Bloom Background,Chrono Wings,Aqua Spiral Dragon,Turtle Shell Scales,Quad Scale Tail,Calf Ears,Astonish Eyes,Craving Mouth,Snail Shell Horns,Scythe Hair Headpiece,CITRCA,Aquatic Dragon,Water Gun,f,2021-10-17 18:18:48.81+05,2021-10-17 18:18:48.81+05
1879,1879,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #1879,https://gateway.pinata.cloud/ipfs/QmTK9hrHkqhvUSrqoSWg3HxaFMxoRNuSgxvTbhoCagQPAh,Fandango Background,Funky Green Wings,Corny Blue Dragon,Beehive Scales,Split Armored Tail,Cerulean Ears,Bewildered Eyes,Avid Mouth,Maleficent Spectrum Horns,Atlan Crown Headpiece,SHIRE,Magical,Exploding Poopcorn,f,2021-10-17 18:18:48.811+05,2021-10-17 18:18:48.811+05
1880,1880,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #1880,https://gateway.pinata.cloud/ipfs/QmQKZ1QNuWMFGnWUsePST5QAt6Vx5J9WkSqobRexhuBFVA,Yellow Green Background,Parrot Wings,Rosie Pink Dragon,Armadillo Armor Scales,Sting Pink Tail,Lizard Feet Ears,Scared Eyes,Frisky Mouth,Minotaur Horns,Tuba Headpiece,Ashy Range,Lava Dragon,Lava Rose,f,2021-10-17 18:18:48.812+05,2021-10-17 18:18:48.812+05
1881,1881,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #1881,https://gateway.pinata.cloud/ipfs/QmU98QFMPP6fN5ftRHQkE6T2cSiP82z4GhThpEoQbGoq2a,Deep Pink Orchid Background,Pixie Wings,Vanilla Meteorite Dragon,Furry Scales,Magenta Monkey Tail,Orc Ears,Starry Night Eyes,Spicy Mouth,Fire Horns,Sparky Headpiece,ICY Doman,Ice Fire,Dual Breath,f,2021-10-17 18:18:48.815+05,2021-10-17 18:18:48.815+05
1882,1882,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #1882,https://gateway.pinata.cloud/ipfs/QmSGhbWzRe4nvd1iRFK5BHamgkhBn7u2cyH5hotDjo4YPF,Lilac Background,Vampire Wings,Gecko Dragon,Argyle Scales,Spear Fish Trail,Brown Sheep Ears,Bewildered Eyes,Sad Vampire Mouth,Antelope Horns,Turban Headpiece,Enchanted Forest,Venemous,Poison Cloud,f,2021-10-17 18:18:48.819+05,2021-10-17 18:18:48.819+05
1883,1883,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #1883,https://gateway.pinata.cloud/ipfs/QmWA5KLYnd2JqQYuNBdKdahXBTGNoB4iymbyBUs5QU6Zjr,Carrot Top Background,Midnight Claw Wings,Amazonian Dragon,Noodle Scales,Bull Horn Tail,Vulture Beak Ears,Relieved Eyes,Melancholic Mouth,Maleficent Spectrum Horns,Golden Moon Headpiece,Enchanted Forest,Poisonous,Poison Strike,f,2021-10-17 18:18:48.825+05,2021-10-17 18:18:48.825+05
1884,1884,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #1884,https://gateway.pinata.cloud/ipfs/Qmd9NX11Hmf8Ftm5j4PFZ9gF5gjG282e7rmazZaenrir89,Maya Blue Background,Jezebel Wings,Albino Embrace Dragon,Zig Zag Scales,Flamingo Beak Tail,White Vampire Ears,Bugged Eyes,Tenacious Mouth,Anchor Horns,Wreath Headpiece,ICY Doman,Ice Fire,Dual Breath,f,2021-10-17 18:18:48.828+05,2021-10-17 18:18:48.828+05
1885,1885,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #1885,https://gateway.pinata.cloud/ipfs/QmZejqoHyPC2uskrLUpRRC8fBA5W9AH25bZzFK6uYZvodH,Goldenrod Background,Cyber Blade Wings,Rosie Pink Dragon,Wavy Incensed Scales,Pink Rose Tail,Praen Ears,Weeping Eyes,Orc Mouth,Moose Horns,Black Phantom Hair Headpiece,Ashy Range,Lava Dragon,Lava Rose,f,2021-10-17 18:18:48.83+05,2021-10-17 18:18:48.83+05
1886,1886,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #1886,https://gateway.pinata.cloud/ipfs/QmX7Xwh43ybuTmfMf6LJ9QaoATuuvJ8YKd4JpTzb2TFFFC,Ever Green Forest,Egyptian Teal Wings,Neon Grape Dragon,Obsidian Scales,Green Flame Tail,Shamrock Sheep Ears,Enraged Eyes,Raunchy Mouth,Thin Sheep Horns,Golden Mohawk Headpiece,SHIRE,Venomous,Venonous Gale,f,2021-10-17 18:18:48.831+05,2021-10-17 18:18:48.831+05
1887,1887,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #1887,https://gateway.pinata.cloud/ipfs/QmUhhYdJvjqret9fZeJD9nQuHcN3taGfQpG24BiKzuA89v,Pink Cyclone Background,Azure Wings,Cheetah Dot Dragon,Ash Scales,Hungarian Horn Tail,Marsh rat ears,Narcissist Eyes,Triumphant Mouth,Orange Ram Horns,Sparky Headpiece,Ashy Range,Firey,Red Fire,f,2021-10-17 18:18:48.832+05,2021-10-17 18:18:48.832+05
1888,1888,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #1888,https://gateway.pinata.cloud/ipfs/QmUfPziPuGf3V2L3Ky1BjyV8Lr2x76Qpy7R8SAQJn99LVf,Grape Background,Chestnut Wings,Corny Blue Dragon,Argyle Scales,Split Armored Tail,Cerulean Ears,Glamorous Eyes,Saucy Mouth,Mountain Ram Horns,Vision Headpiece,SHIRE,Magical,Exploding Poopcorn,f,2021-10-17 18:18:48.833+05,2021-10-17 18:18:48.833+05
1889,1889,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #1889,https://gateway.pinata.cloud/ipfs/QmaBnTehHYAgkk3mp9jEBsfUubaAdZhL72ToFdq8hvVNnq,Salmon Chablis Background,Aquatic Green Wings,Moon Stone Dragon,Pai Sho Scales,Sea Boulder Tail,Bone Ears,Narcissist Eyes,Frisky Mouth,Anchor Horns,Rhino Horn Headpiece,Tundra Mountain,Ice Dragon,Ice Shards Breath,f,2021-10-17 18:18:48.833+05,2021-10-17 18:18:48.833+05
1890,1890,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #1890,https://gateway.pinata.cloud/ipfs/QmYKcD7L8ZUbQPCXkn6BxysSa4L8wv6XHeU9DLmPn41x96,Maya Blue Background,Crimson Bat Wings,Neon Grape Dragon,Turtle Shell Scales,Barbed Parakeet Tail,Green Ears,Focused Eyes,Frisky Mouth,Thin Sheep Horns,Apostrophe Headpiece,SHIRE,Venomous,Venonous Gale,f,2021-10-17 18:18:48.834+05,2021-10-17 18:18:48.834+05
1891,1891,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game",Dragon #1891,https://gateway.pinata.cloud/ipfs/QmaZcAdYHU81FnsY9f3LWvQskYMtPWndxSQsSunzRDomMJ,Aurora Dark Pink Background,Rouge Bat Wings,Albino Embrace Dragon,Elliptical Scales,Penta Crystal Tail,Moon Light Ears,Furious Eyes,Drool Mouth,Maleficient Horns,Blood Ruby Headpiece,ICY Doman,Ice Fire,Dual Breath,f,2021-10-17 18:18:48.835+05,2021-10-17 18:18:48.835+05
1892,1892,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #1892,https://gateway.pinata.cloud/ipfs/QmWZjfiW2GVZeawzwRdHHEaK7rhHdwCzd9Au3nqKK51AAJ,Verdun Background,Golden Mocha Wings,Snow Leopard Dragon,Pangolin Scales,Gecko Tail,Cyan Scorpion Ears,Starry Night Eyes,Antagonized Mouth,Mountain Ram Horns,Fin Headpiece,Tundra Mountain,Ice Dragon,Ice Shuriken Breath,f,2021-10-17 18:18:48.836+05,2021-10-17 18:18:48.836+05
1893,1893,"10000 Unique Dragons NFTs living, evolving and mutating on Etheruem Blockchain. Dragons of Midgard is ready to disrupt the NFT market forever with unique play to earn game.",Dragon #1893,https://gateway.pinata.cloud/ipfs/QmTiB1oYnbpnZVUzSpWWBzZXfysPVBN8Kheoe1ehN8BFTx,Yellow Green Background,Thunderbolt Black Wings,Dark Shadow Dragon,Wicker Scales,Orni Tail,Wildebeest Ears,Relieved Eyes,Talkative Mouth,Shadow Embrace Horns,Vision Headpiece,Ashy Range,Lava Dragon,Molten Lava,f,2021-10-17 18:18:48.837+05,2021-10-17 18:18:48.837+05
